TIME, RX_LEVEL, SNR, MODULATION
02:42:37,-63.00,34.70,64QAM 2/3
02:42:39,-63.00,34.70,64QAM 2/3
02:42:41,-63.00,34.70,64QAM 2/3
02:42:43,-63.00,34.70,64QAM 2/3
02:42:45,-63.00,34.70,64QAM 2/3
02:42:47,-63.00,34.70,64QAM 2/3
02:42:49,-63.00,34.70,64QAM 2/3
02:42:51,-63.00,34.70,64QAM 2/3
02:42:53,-63.00,34.70,64QAM 2/3
02:42:55,-63.00,34.70,64QAM 2/3
02:42:57,-63.00,34.70,64QAM 2/3
02:42:59,-63.00,34.70,64QAM 2/3
02:43:01,-63.00,34.70,64QAM 2/3
02:43:03,-63.00,34.70,64QAM 2/3
02:43:05,-63.00,34.70,64QAM 2/3
02:43:07,-63.00,34.70,64QAM 2/3
02:43:09,-63.00,34.70,64QAM 2/3
02:43:11,-63.00,34.70,64QAM 2/3
02:43:14,-63.00,34.70,64QAM 2/3
02:43:16,-63.00,34.70,64QAM 2/3
02:43:18,-63.00,34.70,64QAM 2/3
02:43:20,-63.00,34.70,64QAM 2/3
02:43:22,-63.00,34.70,64QAM 2/3
02:43:24,-63.00,34.70,64QAM 2/3
02:43:26,-63.00,34.70,64QAM 2/3
02:43:28,-63.00,34.70,64QAM 2/3
02:43:30,-63.00,34.70,64QAM 2/3
02:43:32,-63.00,34.70,64QAM 2/3
02:43:34,-63.00,34.70,64QAM 2/3
02:43:36,-63.00,34.70,64QAM 2/3
02:43:38,-63.00,34.70,64QAM 2/3
02:43:40,-63.00,34.70,64QAM 2/3
02:43:42,-63.00,34.70,64QAM 2/3
02:43:44,-63.00,34.70,64QAM 2/3
02:43:46,-63.00,34.70,64QAM 2/3
02:43:48,-63.00,34.70,64QAM 2/3
02:43:50,-63.00,34.70,64QAM 2/3
02:43:52,-63.00,34.70,64QAM 2/3
02:43:54,-63.00,34.70,64QAM 2/3
02:43:56,-63.00,34.70,64QAM 2/3
02:43:58,-63.00,34.70,64QAM 2/3
02:44:00,-63.00,34.70,64QAM 2/3
02:44:02,-63.00,34.70,64QAM 2/3
02:44:04,-63.00,34.70,64QAM 2/3
02:44:06,-63.00,34.70,64QAM 2/3
02:44:08,-63.00,34.70,64QAM 2/3
02:44:10,-63.00,34.70,64QAM 2/3
02:44:12,-63.00,34.70,64QAM 2/3
02:44:14,-63.00,34.70,64QAM 2/3
02:44:16,-63.00,34.70,64QAM 2/3
02:44:18,-63.00,34.70,64QAM 2/3
02:44:20,-63.00,34.70,64QAM 2/3
02:44:22,-63.00,34.70,64QAM 2/3
02:44:24,-63.00,34.70,64QAM 2/3
02:44:26,-63.00,34.70,64QAM 2/3
02:44:28,-63.00,34.70,64QAM 2/3
02:44:30,-63.00,34.70,64QAM 2/3
02:44:32,-63.00,34.70,64QAM 2/3
02:44:34,-63.00,34.70,64QAM 2/3
02:44:36,-63.00,34.70,64QAM 2/3
02:44:38,-63.00,34.70,64QAM 2/3
02:44:40,-63.00,34.70,64QAM 2/3
02:44:42,-63.00,34.70,64QAM 2/3
02:44:44,-63.00,34.70,64QAM 2/3
02:44:46,-63.00,34.70,64QAM 2/3
02:44:48,-63.00,34.70,64QAM 2/3
02:44:50,-63.00,34.70,64QAM 2/3
02:44:52,-63.00,34.70,64QAM 2/3
02:44:54,-63.00,34.70,64QAM 2/3
02:44:56,-63.00,34.70,64QAM 2/3
02:44:58,-63.00,34.70,64QAM 2/3
02:45:00,-63.00,34.70,64QAM 2/3
02:45:02,-63.00,34.70,64QAM 2/3
02:45:04,-63.00,34.70,64QAM 2/3
02:45:06,-63.00,34.70,64QAM 2/3
02:45:08,-63.00,34.70,64QAM 2/3
02:45:10,-63.00,34.70,64QAM 2/3
02:45:12,-63.00,34.70,64QAM 2/3
02:45:14,-63.00,34.70,64QAM 2/3
02:45:16,-63.00,34.70,64QAM 2/3
02:45:18,-63.00,34.70,64QAM 2/3
02:45:20,-63.00,34.70,64QAM 2/3
02:45:22,-63.00,34.70,64QAM 2/3
02:45:24,-63.00,34.70,64QAM 2/3
02:45:26,-63.00,34.70,64QAM 2/3
02:45:28,-63.00,34.70,64QAM 2/3
02:45:30,-63.00,34.70,64QAM 2/3
02:45:32,-63.00,34.70,64QAM 2/3
02:45:35,-63.00,34.70,64QAM 2/3
02:45:37,-63.00,34.70,64QAM 2/3
02:45:39,-63.00,34.70,64QAM 2/3
02:45:41,-63.00,34.70,64QAM 2/3
02:45:43,-63.00,34.70,64QAM 2/3
02:45:45,-63.00,34.70,64QAM 2/3
02:45:47,-63.00,34.70,64QAM 2/3
02:45:49,-63.00,34.70,64QAM 2/3
02:45:51,-63.00,34.70,64QAM 2/3
02:45:53,-63.00,34.70,64QAM 2/3
02:45:55,-63.00,34.70,64QAM 2/3
02:45:57,-63.00,34.70,64QAM 2/3
02:45:59,-63.00,34.70,64QAM 2/3
02:46:01,-63.00,34.70,64QAM 2/3
02:46:03,-63.00,34.70,64QAM 2/3
02:46:05,-63.00,34.70,64QAM 2/3
02:46:07,-63.00,34.70,64QAM 2/3
02:46:09,-63.00,34.70,64QAM 2/3
02:46:11,-63.00,34.70,64QAM 2/3
02:46:13,-63.00,34.70,64QAM 2/3
02:46:15,-63.00,34.70,64QAM 2/3
02:46:17,-63.00,34.70,64QAM 2/3
02:46:19,-63.00,34.70,64QAM 2/3
02:46:21,-63.00,34.70,64QAM 2/3
02:46:23,-63.00,34.70,64QAM 2/3
02:46:25,-63.00,34.70,64QAM 2/3
02:46:27,-63.00,34.70,64QAM 2/3
02:46:29,-63.00,34.70,64QAM 2/3
02:46:31,-63.00,34.70,64QAM 2/3
02:46:33,-63.00,34.70,64QAM 2/3
02:46:35,-63.00,34.70,64QAM 2/3
02:46:37,-63.00,34.70,64QAM 2/3
02:46:39,-63.00,34.70,64QAM 2/3
02:46:41,-63.00,34.70,64QAM 2/3
02:46:43,-63.00,34.70,64QAM 2/3
02:46:45,-63.00,34.70,64QAM 2/3
02:46:47,-63.00,34.70,64QAM 2/3
02:46:49,-63.00,34.70,64QAM 2/3
02:46:51,-63.00,34.70,64QAM 2/3
02:46:53,-63.00,34.70,64QAM 2/3
02:46:55,-63.00,34.70,64QAM 2/3
02:46:57,-63.00,34.70,64QAM 2/3
02:46:59,-63.00,34.70,64QAM 2/3
02:47:01,-63.00,34.70,64QAM 2/3
02:47:03,-63.00,34.70,64QAM 2/3
02:47:05,-63.00,34.70,64QAM 2/3
02:47:07,-63.00,34.70,64QAM 2/3
02:47:09,-63.00,34.70,64QAM 2/3
02:47:11,-63.00,34.70,64QAM 2/3
02:47:13,-63.00,34.70,64QAM 2/3
02:47:15,-63.00,34.70,64QAM 2/3
02:47:17,-63.00,34.70,64QAM 2/3
02:47:19,-63.00,34.70,64QAM 2/3
02:47:21,-63.00,34.70,64QAM 2/3
02:47:23,-63.00,34.70,64QAM 2/3
02:47:25,-63.00,34.70,64QAM 2/3
02:47:27,-63.00,34.70,64QAM 2/3
02:47:29,-63.00,34.70,64QAM 2/3
02:47:31,-63.00,34.70,64QAM 2/3
02:47:33,-63.00,34.70,64QAM 2/3
02:47:35,-63.00,34.70,64QAM 2/3
02:47:37,-63.00,34.70,64QAM 2/3
