TIME, RX_LEVEL, SNR, MODULATION
11:54:50,-63.00,34.70,64QAM 2/3
11:54:52,-63.00,34.70,64QAM 2/3
11:54:55,-63.00,34.70,64QAM 2/3
11:54:57,-63.00,34.70,64QAM 2/3
11:54:59,-63.00,34.70,64QAM 2/3
11:55:01,-63.00,34.70,64QAM 2/3
11:55:03,-63.00,34.70,64QAM 2/3
11:55:05,-63.00,34.70,64QAM 2/3
11:55:07,-63.00,34.70,64QAM 2/3
11:55:09,-63.00,34.70,64QAM 2/3
11:55:11,-63.00,34.70,64QAM 2/3
11:55:13,-63.00,34.70,64QAM 2/3
11:55:15,-63.00,34.70,64QAM 2/3
11:55:17,-63.00,34.70,64QAM 2/3
11:55:19,-63.00,34.70,64QAM 2/3
11:55:21,-63.00,34.70,64QAM 2/3
11:55:23,-63.00,34.70,64QAM 2/3
11:55:25,-63.00,34.70,64QAM 2/3
11:55:27,-63.00,34.70,64QAM 2/3
11:55:29,-63.00,34.70,64QAM 2/3
11:55:31,-63.00,34.70,64QAM 2/3
11:55:33,-63.00,34.70,64QAM 2/3
11:55:35,-63.00,34.70,64QAM 2/3
11:55:37,-63.00,34.70,64QAM 2/3
11:55:39,-63.00,34.70,64QAM 2/3
11:55:41,-63.00,34.70,64QAM 2/3
11:55:43,-63.00,34.70,64QAM 2/3
11:55:45,-63.00,34.70,64QAM 2/3
11:55:47,-63.00,34.70,64QAM 2/3
11:55:49,-63.00,34.70,64QAM 2/3
11:55:51,-63.00,34.70,64QAM 2/3
11:55:53,-63.00,34.70,64QAM 2/3
11:55:55,-63.00,34.70,64QAM 2/3
11:55:57,-63.00,34.70,64QAM 2/3
11:55:59,-63.00,34.70,64QAM 2/3
11:56:01,-63.00,34.70,64QAM 2/3
11:56:03,-63.00,34.70,64QAM 2/3
11:56:05,-63.00,34.70,64QAM 2/3
11:56:07,-63.00,34.70,64QAM 2/3
11:56:10,-63.00,34.70,64QAM 2/3
11:56:12,-63.00,34.70,64QAM 2/3
11:56:14,-63.00,34.70,64QAM 2/3
11:56:16,-63.00,34.70,64QAM 2/3
11:56:18,-63.00,34.70,64QAM 2/3
11:56:20,-63.00,34.70,64QAM 2/3
11:56:22,-63.00,34.70,64QAM 2/3
11:56:24,-63.00,34.70,64QAM 2/3
11:56:26,-63.00,34.70,64QAM 2/3
11:56:28,-63.00,34.70,64QAM 2/3
11:56:30,-63.00,34.70,64QAM 2/3
11:56:32,-63.00,34.70,64QAM 2/3
11:56:34,-63.00,34.70,64QAM 2/3
11:56:36,-63.00,34.70,64QAM 2/3
11:56:38,-63.00,34.70,64QAM 2/3
11:56:40,-63.00,34.70,64QAM 2/3
11:56:42,-63.00,34.70,64QAM 2/3
11:56:44,-63.00,34.70,64QAM 2/3
11:56:46,-63.00,34.70,64QAM 2/3
11:56:48,-63.00,34.70,64QAM 2/3
11:56:50,-63.00,34.70,64QAM 2/3
11:56:52,-63.00,34.70,64QAM 2/3
11:56:54,-63.00,34.70,64QAM 2/3
11:56:56,-63.00,34.70,64QAM 2/3
11:56:58,-63.00,34.70,64QAM 2/3
11:57:00,-63.00,34.70,64QAM 2/3
11:57:02,-63.00,34.70,64QAM 2/3
11:57:04,-63.00,34.70,64QAM 2/3
11:57:06,-63.00,34.70,64QAM 2/3
11:57:08,-63.00,34.70,64QAM 2/3
11:57:10,-63.00,34.70,64QAM 2/3
11:57:12,-63.00,34.70,64QAM 2/3
11:57:14,-63.00,34.70,64QAM 2/3
11:57:16,-63.00,34.70,64QAM 2/3
11:57:18,-63.00,34.70,64QAM 2/3
11:57:20,-63.00,34.70,64QAM 2/3
11:57:22,-63.00,34.70,64QAM 2/3
11:57:24,-63.00,34.70,64QAM 2/3
11:57:26,-63.00,34.70,64QAM 2/3
11:57:28,-63.00,34.70,64QAM 2/3
11:57:30,-63.00,34.70,64QAM 2/3
11:57:32,-63.00,34.70,64QAM 2/3
11:57:34,-63.00,34.70,64QAM 2/3
11:57:36,-63.00,34.70,64QAM 2/3
11:57:38,-63.00,34.70,64QAM 2/3
